shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|9|5|7|0.701967716217041
(500, 784)|(784, 256)|9|5|8|0.32535505294799805
(500, 784)|(784, 256)|9|5|9|0.3733811378479004
(500, 784)|(784, 256)|9|5|10|0.31172919273376465
(500, 784)|(784, 256)|9|5|11|0.2779362201690674
(500, 784)|(784, 256)|9|5|12|0.3773829936981201
(500, 784)|(784, 256)|9|5|13|0.32973217964172363
(500, 784)|(784, 256)|9|5|14|0.3615419864654541
(500, 784)|(784, 256)|9|5|15|0.39444923400878906
(500, 784)|(784, 256)|9|5|16|0.27323198318481445
(500, 784)|(784, 256)|9|6|7|0.33324694633483887
(500, 784)|(784, 256)|9|6|8|0.6404669284820557
(500, 784)|(784, 256)|9|6|9|0.36356091499328613
(500, 784)|(784, 256)|9|6|10|0.23233819007873535
(500, 784)|(784, 256)|9|6|11|0.3003559112548828
(500, 784)|(784, 256)|9|6|12|0.28104305267333984
(500, 784)|(784, 256)|9|6|13|0.3305938243865967
(500, 784)|(784, 256)|9|6|14|0.3407909870147705
(500, 784)|(784, 256)|9|6|15|0.6192538738250732
(500, 784)|(784, 256)|9|6|16|0.33242011070251465
(500, 784)|(784, 256)|9|7|8|0.25823283195495605
(500, 784)|(784, 256)|9|7|9|0.37938404083251953
(500, 784)|(784, 256)|9|7|10|0.2819631099700928
(500, 784)|(784, 256)|9|7|11|0.30413317680358887
(500, 784)|(784, 256)|9|7|12|0.3811032772064209
(500, 784)|(784, 256)|9|7|13|0.38336730003356934
(500, 784)|(784, 256)|9|7|14|0.36508607864379883
(500, 784)|(784, 256)|9|7|15|0.2934589385986328
(500, 784)|(784, 256)|9|7|16|0.37715601921081543
(500, 784)|(784, 256)|9|8|9|0.3519308567047119
(500, 784)|(784, 256)|9|8|10|0.2453451156616211
(500, 784)|(784, 256)|9|8|11|0.28890323638916016
(500, 784)|(784, 256)|9|8|12|0.36583590507507324
(500, 784)|(784, 256)|9|8|13|0.3705317974090576
(500, 784)|(784, 256)|9|8|14|0.29799485206604004
(500, 784)|(784, 256)|9|8|15|0.33289504051208496
(500, 784)|(784, 256)|9|8|16|0.2851550579071045
(500, 784)|(784, 256)|10|1|2|0.3856639862060547
(500, 784)|(784, 256)|10|1|3|0.2679309844970703
(500, 784)|(784, 256)|10|1|4|0.2781989574432373
(500, 784)|(784, 256)|10|1|5|0.2559700012207031
(500, 784)|(784, 256)|10|1|6|0.24371719360351562
(500, 784)|(784, 256)|10|1|7|0.2421858310699463
(500, 784)|(784, 256)|10|1|8|0.2515220642089844
(500, 784)|(784, 256)|10|1|9|0.2766139507293701
(500, 784)|(784, 256)|10|1|10|0.2792990207672119
(500, 784)|(784, 256)|10|1|11|0.3026111125946045
(500, 784)|(784, 256)|10|1|12|0.42905712127685547
(500, 784)|(784, 256)|10|1|13|0.2495250701904297
(500, 784)|(784, 256)|10|1|14|0.32317376136779785
(500, 784)|(784, 256)|10|1|15|0.26171112060546875
(500, 784)|(784, 256)|10|1|16|0.2922060489654541
(500, 784)|(784, 256)|10|2|3|0.2891242504119873
(500, 784)|(784, 256)|10|2|4|0.2724649906158447
(500, 784)|(784, 256)|10|2|5|0.30116796493530273
(500, 784)|(784, 256)|10|2|6|0.37389516830444336
(500, 784)|(784, 256)|10|2|7|0.38260602951049805
(500, 784)|(784, 256)|10|2|8|0.3728797435760498
